,Filename,length,release_year,ablum_title,Text,intro,verse_1,pre-chorus,chorus,verse_2,bridge,outro,verse_3,verse_4,verse_5,post-chorus,refrain,interlude,verse,Doc,Tokens,Lemmas
0,World Princess,04:41,2010,Halfaxa," Thinking of her all my life Now I go down  I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel  Thinking of her, baby that won't go Now I go slow Thinking of her, baby that won't go Now I go slow Thinking of her, baby that won't go Now I go slow Now I go slow, baby that won't go Now I go slow  Thinking of her all my life Now I go down Thinking of her all my life Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down  Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We won't go slow  Thinking of her all my life Now I go down Thinking of her all my life Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down", Thinking of her all my life Now I go down ," I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel ",,," Thinking of her, baby that won't go Now I go slow Thinking of her, baby that won't go Now I go slow Thinking of her, baby that won't go Now I go slow Now I go slow, baby that won't go Now I go slow ",,, Thinking of her all my life Now I go down Thinking of her all my life Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down ," Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We won't go slow ", Thinking of her all my life Now I go down Thinking of her all my life Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down,,,,," Thinking of her all my life Now I go down  I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel I cannot feel, I cannot feel  Thinking of her, baby that won't go Now I go slow Thinking of her, baby that won't go Now I go slow Thinking of her, baby that won't go Now I go slow Now I go slow, baby that won't go Now I go slow  Thinking of her all my life Now I go down Thinking of her all my life Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down  Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We can go slow Thinking of her, baby that won't go We won't go slow  Thinking of her all my life Now I go down Thinking of her all my life Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down Thinking of her all my life (Thinking of her all my life) Now I go down","[' ', 'Thinking', 'of', 'her', 'all', 'my', 'life', 'Now', 'I', 'go', 'down', ' ', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', ' ', 'Thinking', 'of', 'her', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'Now', 'I', 'go', 'slow', 'Thinking', 'of', 'her', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'Now', 'I', 'go', 'slow', 'Thinking', 'of', 'her', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'Now', 'I', 'go', 'slow', 'Now', 'I', 'go', 'slow', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'Now', 'I', 'go', 'slow', ' ', 'Thinking', 'of', 'her', 'all', 'my', 'life', 'Now', 'I', 'go', 'down', 'Thinking', 'of', 'her', 'all', 'my', 'life', 'Now', 'I', 'go', 'down', 'Thinking', 'of', 'her', 'all', 'my', 'life', '(', 'Thinking', 'of', 'her', 'all', 'my', 'life', ')', 'Now', 'I', 'go', 'down', 'Thinking', 'of', 'her', 'all', 'my', 'life', '(', 'Thinking', 'of', 'her', 'all', 'my', 'life', ')', 'Now', 'I', 'go', 'down', ' ', 'Thinking', 'of', 'her', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'We', 'can', 'go', 'slow', 'Thinking', 'of', 'her', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'We', 'can', 'go', 'slow', 'Thinking', 'of', 'her', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'We', 'can', 'go', 'slow', 'Thinking', 'of', 'her', ',', 'baby', 'that', 'wo', ""n't"", 'go', 'We', 'wo', ""n't"", 'go', 'slow', ' ', 'Thinking', 'of', 'her', 'all', 'my', 'life', 'Now', 'I', 'go', 'down', 'Thinking', 'of', 'her', 'all', 'my', 'life', 'Now', 'I', 'go', 'down', 'Thinking', 'of', 'her', 'all', 'my', 'life', '(', 'Thinking', 'of', 'her', 'all', 'my', 'life', ')', 'Now', 'I', 'go', 'down', 'Thinking', 'of', 'her', 'all', 'my', 'life', '(', 'Thinking', 'of', 'her', 'all', 'my', 'life', ')', 'Now', 'I', 'go', 'down', 'Thinking', 'of', 'her', 'all', 'my', 'life', '(', 'Thinking', 'of', 'her', 'all', 'my', 'life', ')', 'Now', 'I', 'go', 'down']","[' ', 'thinking', 'of', 'she', 'all', 'my', 'life', 'now', 'I', 'go', 'down', ' ', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', 'I', 'can', 'not', 'feel', ',', 'I', 'can', 'not', 'feel', ' ', 'thinking', 'of', 'she', ',', 'baby', 'that', 'will', 'not', 'go', 'now', 'I', 'go', 'slow', 'thinking', 'of', 'she', ',', 'baby', 'that', 'will', 'not', 'go', 'now', 'I', 'go', 'slow', 'thinking', 'of', 'she', ',', 'baby', 'that', 'will', 'not', 'go', 'now', 'I', 'go', 'slow', 'now', 'I', 'go', 'slow', ',', 'baby', 'that', 'will', 'not', 'go', 'now', 'I', 'go', 'slow', ' ', 'thinking', 'of', 'she', 'all', 'my', 'life', 'now', 'I', 'go', 'down', 'thinking', 'of', 'she', 'all', 'my', 'life', 'now', 'I', 'go', 'down', 'thinking', 'of', 'she', 'all', 'my', 'life', '(', 'think', 'of', 'she', 'all', 'my', 'life', ')', 'now', 'I', 'go', 'down', 'thinking', 'of', 'she', 'all', 'my', 'life', '(', 'think', 'of', 'she', 'all', 'my', 'life', ')', 'now', 'I', 'go', 'down', ' ', 'thinking', 'of', 'she', ',', 'baby', 'that', 'will', 'not', 'go', 'we', 'can', 'go', 'slow', 'thinking', 'of', 'she', ',', 'baby', 'that', 'will', 'not', 'go', 'we', 'can', 'go', 'slow', 'thinking', 'of', 'she', ',', 'baby', 'that', 'will', 'not', 'go', 'we', 'can', 'go', 'slow', 'thinking', 'of', 'she', ',', 'baby', 'that', 'will', 'not', 'go', 'we', 'will', 'not', 'go', 'slow', ' ', 'thinking', 'of', 'she', 'all', 'my', 'life', 'now', 'I', 'go', 'down', 'thinking', 'of', 'she', 'all', 'my', 'life', 'now', 'I', 'go', 'down', 'thinking', 'of', 'she', 'all', 'my', 'life', '(', 'think', 'of', 'she', 'all', 'my', 'life', ')', 'now', 'I', 'go', 'down', 'thinking', 'of', 'she', 'all', 'my', 'life', '(', 'think', 'of', 'she', 'all', 'my', 'life', ')', 'now', 'I', 'go', 'down', 'thinking', 'of', 'she', 'all', 'my', 'life', '(', 'think', 'of', 'she', 'all', 'my', 'life', ')', 'now', 'I', 'go', 'down']"
1,Kill V. Maim,04:06,2015,Art Angels," I got in a fight, I was indisposed I was in, despite all the wicked prose But I'm only a man, and I do what I can I got friends in high places I get out for free I got in a fight but they don't know me 'Cause I'm only a man And I do what I can  B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war  Eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh Are you going to the party? Are you going to the show? 'Cause I'm only a man, do what I can, oh 'Cause I'm only a man, do what I can Are you going to the party? Are you going to the show?  I did something bad, maybe I was wrong Sometimes people say that I'm a big time bomb But I'm only a man And I do what I can  B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war  Eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh Are you going to the party? Are you going to the show? 'Cause I'm only a man, do what I can, oh 'Cause I'm only a man, do what I can Are you going to the party? Are you going to the show?  Oh, the fire it's all right 'Cause we can make 'em all go crazy We can make 'em wanna die Oh, the fire it's all right The people touch it I can't touch it Even though it's mine  Eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh (Are you going to the party? Are you going to the show?) 'Cause I'm only a man, do what I can, oh 'Cause I'm only a man, do what I can  B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war",," I got in a fight, I was indisposed I was in, despite all the wicked prose But I'm only a man, and I do what I can I got friends in high places I get out for free I got in a fight but they don't know me 'Cause I'm only a man And I do what I can ", B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war ," Eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh Are you going to the party? Are you going to the show? 'Cause I'm only a man, do what I can, oh 'Cause I'm only a man, do what I can Are you going to the party? Are you going to the show? "," I did something bad, maybe I was wrong Sometimes people say that I'm a big time bomb But I'm only a man And I do what I can "," Oh, the fire it's all right 'Cause we can make 'em all go crazy We can make 'em wanna die Oh, the fire it's all right The people touch it I can't touch it Even though it's mine ", B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war,,,,,,,," I got in a fight, I was indisposed I was in, despite all the wicked prose But I'm only a man, and I do what I can I got friends in high places I get out for free I got in a fight but they don't know me 'Cause I'm only a man And I do what I can  B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war  Eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh Are you going to the party? Are you going to the show? 'Cause I'm only a man, do what I can, oh 'Cause I'm only a man, do what I can Are you going to the party? Are you going to the show?  I did something bad, maybe I was wrong Sometimes people say that I'm a big time bomb But I'm only a man And I do what I can  B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war  Eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh Are you going to the party? Are you going to the show? 'Cause I'm only a man, do what I can, oh 'Cause I'm only a man, do what I can Are you going to the party? Are you going to the show?  Oh, the fire it's all right 'Cause we can make 'em all go crazy We can make 'em wanna die Oh, the fire it's all right The people touch it I can't touch it Even though it's mine  Eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh eh I don't behave, I don't behave, oh (Are you going to the party? Are you going to the show?) 'Cause I'm only a man, do what I can, oh 'Cause I'm only a man, do what I can  B-E-H-A-V-E Arrest us Italiana mobster Looking so precious B-E-H-A-V-E Never more You gave up being good when you declared a state of war","[' ', 'I', 'got', 'in', 'a', 'fight', ',', 'I', 'was', 'indisposed', 'I', 'was', 'in', ',', 'despite', 'all', 'the', 'wicked', 'prose', 'But', 'I', ""'m"", 'only', 'a', 'man', ',', 'and', 'I', 'do', 'what', 'I', 'can', 'I', 'got', 'friends', 'in', 'high', 'places', 'I', 'get', 'out', 'for', 'free', 'I', 'got', 'in', 'a', 'fight', 'but', 'they', 'do', ""n't"", 'know', 'me', ""'Cause"", 'I', ""'m"", 'only', 'a', 'man', 'And', 'I', 'do', 'what', 'I', 'can', ' ', 'B', '-', 'E', '-', 'H', '-', 'A', '-', 'V', '-', 'E', 'Arrest', 'us', 'Italiana', 'mobster', 'Looking', 'so', 'precious', 'B', '-', 'E', '-', 'H', '-', 'A', '-', 'V', '-', 'E', 'Never', 'more', 'You', 'gave', 'up', 'being', 'good', 'when', 'you', 'declared', 'a', 'state', 'of', 'war', ' ', 'Eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'Are', 'you', 'going', 'to', 'the', 'party', '?', 'Are', 'you', 'going', 'to', 'the', 'show', '?', ""'Cause"", 'I', ""'m"", 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ',', 'oh', ""'Cause"", 'I', ""'m"", 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', 'Are', 'you', 'going', 'to', 'the', 'party', '?', 'Are', 'you', 'going', 'to', 'the', 'show', '?', ' ', 'I', 'did', 'something', 'bad', ',', 'maybe', 'I', 'was', 'wrong', 'Sometimes', 'people', 'say', 'that', 'I', ""'m"", 'a', 'big', 'time', 'bomb', 'But', 'I', ""'m"", 'only', 'a', 'man', 'And', 'I', 'do', 'what', 'I', 'can', ' ', 'B', '-', 'E', '-', 'H', '-', 'A', '-', 'V', '-', 'E', 'Arrest', 'us', 'Italiana', 'mobster', 'Looking', 'so', 'precious', 'B', '-', 'E', '-', 'H', '-', 'A', '-', 'V', '-', 'E', 'Never', 'more', 'You', 'gave', 'up', 'being', 'good', 'when', 'you', 'declared', 'a', 'state', 'of', 'war', ' ', 'Eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'Are', 'you', 'going', 'to', 'the', 'party', '?', 'Are', 'you', 'going', 'to', 'the', 'show', '?', ""'Cause"", 'I', ""'m"", 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ',', 'oh', ""'Cause"", 'I', ""'m"", 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', 'Are', 'you', 'going', 'to', 'the', 'party', '?', 'Are', 'you', 'going', 'to', 'the', 'show', '?', ' ', 'Oh', ',', 'the', 'fire', 'it', ""'s"", 'all', 'right', ""'Cause"", 'we', 'can', 'make', ""'em"", 'all', 'go', 'crazy', 'We', 'can', 'make', ""'em"", 'wanna', 'die', 'Oh', ',', 'the', 'fire', 'it', ""'s"", 'all', 'right', 'The', 'people', 'touch', 'it', 'I', 'ca', ""n't"", 'touch', 'it', 'Even', 'though', 'it', ""'s"", 'mine', ' ', 'Eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', 'eh', 'I', 'do', ""n't"", 'behave', ',', 'I', 'do', ""n't"", 'behave', ',', 'oh', '(', 'Are', 'you', 'going', 'to', 'the', 'party', '?', 'Are', 'you', 'going', 'to', 'the', 'show', '?', ')', ""'Cause"", 'I', ""'m"", 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ',', 'oh', ""'Cause"", 'I', ""'m"", 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ' ', 'B', '-', 'E', '-', 'H', '-', 'A', '-', 'V', '-', 'E', 'Arrest', 'us', 'Italiana', 'mobster', 'Looking', 'so', 'precious', 'B', '-', 'E', '-', 'H', '-', 'A', '-', 'V', '-', 'E', 'Never', 'more', 'You', 'gave', 'up', 'being', 'good', 'when', 'you', 'declared', 'a', 'state', 'of', 'war']","[' ', 'I', 'get', 'in', 'a', 'fight', ',', 'I', 'be', 'indispose', 'I', 'be', 'in', ',', 'despite', 'all', 'the', 'wicked', 'prose', 'but', 'I', 'be', 'only', 'a', 'man', ',', 'and', 'I', 'do', 'what', 'I', 'can', 'I', 'get', 'friend', 'in', 'high', 'place', 'I', 'get', 'out', 'for', 'free', 'I', 'get', 'in', 'a', 'fight', 'but', 'they', 'do', 'not', 'know', 'I', ""'cause"", 'I', 'be', 'only', 'a', 'man', 'and', 'I', 'do', 'what', 'I', 'can', ' ', 'B', '-', 'e', '-', 'h', '-', 'a', '-', 'v', '-', 'e', 'arrest', 'we', 'Italiana', 'mobster', 'look', 'so', 'precious', 'B', '-', 'e', '-', 'h', '-', 'a', '-', 'v', '-', 'e', 'never', 'more', 'you', 'give', 'up', 'be', 'good', 'when', 'you', 'declare', 'a', 'state', 'of', 'war', ' ', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'be', 'you', 'go', 'to', 'the', 'party', '?', 'be', 'you', 'go', 'to', 'the', 'show', '?', ""'cause"", 'I', 'be', 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ',', 'oh', ""'cause"", 'I', 'be', 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', 'be', 'you', 'go', 'to', 'the', 'party', '?', 'be', 'you', 'go', 'to', 'the', 'show', '?', ' ', 'I', 'do', 'something', 'bad', ',', 'maybe', 'I', 'be', 'wrong', 'sometimes', 'people', 'say', 'that', 'I', 'be', 'a', 'big', 'time', 'bomb', 'but', 'I', 'be', 'only', 'a', 'man', 'and', 'I', 'do', 'what', 'I', 'can', ' ', 'B', '-', 'e', '-', 'h', '-', 'a', '-', 'v', '-', 'e', 'arrest', 'we', 'Italiana', 'mobster', 'look', 'so', 'precious', 'B', '-', 'e', '-', 'h', '-', 'a', '-', 'v', '-', 'e', 'never', 'more', 'you', 'give', 'up', 'be', 'good', 'when', 'you', 'declare', 'a', 'state', 'of', 'war', ' ', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'be', 'you', 'go', 'to', 'the', 'party', '?', 'be', 'you', 'go', 'to', 'the', 'show', '?', ""'cause"", 'I', 'be', 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ',', 'oh', ""'cause"", 'I', 'be', 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', 'be', 'you', 'go', 'to', 'the', 'party', '?', 'be', 'you', 'go', 'to', 'the', 'show', '?', ' ', 'oh', ',', 'the', 'fire', 'it', 'be', 'all', 'right', ""'cause"", 'we', 'can', 'make', 'them', 'all', 'go', 'crazy', 'we', 'can', 'make', 'them', 'wanna', 'die', 'oh', ',', 'the', 'fire', 'it', 'be', 'all', 'right', 'the', 'people', 'touch', 'it', 'I', 'can', 'not', 'touch', 'it', 'even', 'though', 'it', 'be', 'mine', ' ', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', 'eh', 'I', 'do', 'not', 'behave', ',', 'I', 'do', 'not', 'behave', ',', 'oh', '(', 'be', 'you', 'go', 'to', 'the', 'party', '?', 'be', 'you', 'go', 'to', 'the', 'show', '?', ')', ""'cause"", 'I', 'be', 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ',', 'oh', ""'cause"", 'I', 'be', 'only', 'a', 'man', ',', 'do', 'what', 'I', 'can', ' ', 'B', '-', 'e', '-', 'h', '-', 'a', '-', 'v', '-', 'e', 'arrest', 'we', 'Italiana', 'mobster', 'look', 'so', 'precious', 'B', '-', 'e', '-', 'h', '-', 'a', '-', 'v', '-', 'e', 'never', 'more', 'you', 'give', 'up', 'be', 'good', 'when', 'you', 'declare', 'a', 'state', 'of', 'war']"
